index,price
0,100.0
1,101.92012
2,103.81106
3,105.64409
4,107.39138
5,109.02646
6,110.52458
7,111.86315
8,113.022064
9,113.98401
10,114.73477
11,115.2634
12,115.56242
13,115.62797
14,115.459785
15,115.06129
16,114.43947
17,113.6048
18,112.5711
19,111.35527
20,109.97708
21,108.45881
22,106.82491
23,105.10169
24,103.316795
25,101.49888
26,99.67708
27,97.88059
28,96.13825
29,94.47801
30,92.92658
31,91.508934
32,90.24796
33,89.16415
34,88.275154
35,87.595665
36,87.137054
37,86.90724
38,86.91061
39,87.14788
40,87.616135
41,88.30885
42,89.21598
43,90.32417
44,91.61689
45,93.07477
46,94.67582
47,96.395836
48,98.20877
49,100.0871
50,102.00231
51,103.92529
52,105.8268
53,107.67796
54,109.45066
55,111.11802
56,112.6548
57,114.037796
58,115.246216
59,116.26197
60,117.07
61,117.65848
62,118.01898
63,118.14669
64,118.040375
65,117.702484
66,117.13907
67,116.35969
68,115.37731
69,114.208015
70,112.87086
71,111.387474
72,109.78178
73,108.07962
74,106.30834
75,104.49636
76,102.67274
77,100.86669
78,99.107216
79,97.422516
80,95.83968
81,94.38419
82,93.07952
83,91.94683
84,91.00456
85,90.2682
86,89.75003
87,89.4589
88,89.40015
89,89.575455
90,89.98288
91,90.616844
92,91.468216
93,92.52451
94,93.77002
95,95.1861
96,96.75141
97,98.442314
98,100.23321
99,102.096924
100,104.00517
101,105.92894
102,107.83898
103,109.7063
104,111.5025
105,113.20036
106,114.77417
107,116.20012
108,117.456764
109,118.52527
110,119.38974
111,120.03746
112,120.45911
113,120.64889
114,120.604614
115,120.32776
116,119.823425
117,119.10026
118,118.17033
119,117.04892
120,115.75432
121,114.30751
122,112.731834
123,111.05267
124,109.29701
125,107.49302
126,105.66964
127,103.85608
